attackingProb,attackingTime,isAttackTrial,cookie1PosX,cookie1PosY,cookie1Weight,cookie1RewardValue,cookie2PosX,cookie2PosY,cookie2Weight,cookie2RewardValue,cookie3PosX,cookie3PosY,cookie3Weight,cookie3RewardValue,type,transitionState
0.5,0.32320293202075523,1,0,6,4,1,2,4,1,4,0,0,0,0,4,0
0.5,0.5187906217433661,0,2,5,3,5,3,6,3,1,0,0,0,0,4,0
0.5,0.7030189588951778,1,1,3,1,5,2,4,2,6,0,0,0,0,4,0
0.5,0.363629602379294,0,0,5,4,6,2,5,4,1,0,0,0,0,4,0
0.5,0.9717820827209607,1,1,0,1,3,3,0,1,2,0,0,0,0,4,0
0.1,0.036886947354532795,0,1,6,2,3,1,6,5,1,0,0,0,0,4,0
0.1,0.6095643339798968,0,2,6,2,2,2,6,2,1,0,0,0,0,4,0
0.1,0.5026790232288615,0,0,1,1,3,1,4,3,1,0,0,0,0,4,0
0.1,0.05147875124998935,0,1,2,1,2,3,4,1,6,0,0,0,0,4,0
0.1,0.27864646423661144,0,0,3,4,3,0,3,5,2,0,0,0,0,4,0
0.9,0.4271077886262563,1,1,1,4,6,2,3,3,6,0,0,0,0,4,0
0.9,0.8180147659224931,1,0,6,4,3,1,0,4,3,0,0,0,0,4,0
0.9,0.8607305832563434,1,2,5,4,6,2,3,3,2,0,0,0,0,4,0
0.9,0.006952130531190703,1,3,6,4,1,1,3,5,3,0,0,0,0,4,0
0.9,0.5107473025775657,1,2,5,3,1,3,2,1,5,0,0,0,0,4,0
0.5,0.417411003148779,0,2,5,2,6,0,5,1,3,0,0,0,0,4,0
0.5,0.22210781047073025,1,3,0,5,3,1,0,3,3,0,0,0,0,4,0
0.5,0.1198653673336828,0,3,1,2,2,2,4,5,3,0,0,0,0,4,0
0.5,0.33761517140362796,1,1,2,4,3,2,6,1,4,0,0,0,0,4,0
0.5,0.9429097039125192,0,0,1,2,6,3,6,5,3,0,0,0,0,4,0
0.9,0.8074401551640625,1,2,5,4,5,0,4,1,2,0,0,0,0,4,0
0.9,0.8960912999234932,1,2,1,1,4,0,6,1,4,0,0,0,0,4,0
0.9,0.3180034749718639,0,1,5,3,1,0,2,1,3,0,0,0,0,4,0
0.9,0.11005192452767676,1,2,2,4,2,1,4,4,5,0,0,0,0,4,0
0.9,0.22793516254194168,1,1,1,2,1,3,4,2,4,0,0,0,0,4,0
0.1,0.9624472949421112,0,3,5,1,4,3,2,1,6,0,0,0,0,4,0
0.1,0.25178229582536416,1,2,1,4,4,1,6,3,1,0,0,0,0,4,0
0.1,0.49724850589238545,0,2,4,3,1,3,2,2,1,0,0,0,0,4,0
0.1,0.30087830981676966,0,3,0,2,6,0,0,3,2,0,0,0,0,4,0
0.1,0.2848404943774676,0,1,6,5,2,0,6,5,2,0,0,0,0,4,0
