attackingProb,attackingTime,isAttackTrial,cookie1PosX,cookie1PosY,cookie1Weight,cookie1RewardValue,cookie2PosX,cookie2PosY,cookie2Weight,cookie2RewardValue,cookie3PosX,cookie3PosY,cookie3Weight,cookie3RewardValue,type,transitionState
0.5,0,0,2,6,1,1,2,1,1,1,0,0,0,0,5,0
0.5,0.4601679446835364,1,2,3,3,5,0,6,1,1,0,0,0,0,1,0
0.9,0.4030507322341205,1,1,0,3,5,0,3,1,1,0,0,0,0,1,0
0.5,0,0,1,3,3,5,0,6,1,1,0,0,0,0,1,0
0.1,0,0,0,4,3,5,0,7,1,1,0,0,0,0,1,0
0.1,0,0,1,3,1,1,1,6,1,1,0,0,0,0,5,0
0.9,0.4352302445743115,1,1,6,3,5,0,1,1,1,0,0,0,0,1,0
0.9,0,0,2,7,3,5,2,2,3,5,0,0,0,0,5,0
0.5,0,0,2,3,3,5,0,6,1,1,0,0,0,0,1,0
0.9,0,0,2,7,3,5,0,2,1,1,0,0,0,0,1,0
0.5,0.4059036414306519,1,0,5,3,5,0,0,1,1,0,0,0,0,1,0
0.5,0.3992779278781601,1,2,7,1,1,2,2,1,1,0,0,0,0,6,0
0.1,0.5069627556787644,1,1,1,3,5,0,4,1,1,0,0,0,0,1,0
0.9,0.468755451,1,2,4,3,5,2,7,3,5,0,0,0,0,6,0
0.9,0.7211974148140801,1,0,0,3,5,0,3,1,1,0,0,0,0,1,0
0.9,0.3866393603065358,1,2,0,1,1,2,3,1,1,0,0,0,0,5,0
0.1,0,0,1,4,3,5,0,7,1,1,0,0,0,0,1,0
0.5,0,0,2,2,3,5,2,5,3,5,0,0,0,0,6,0
0.1,0,0,0,7,3,5,0,2,1,1,0,0,0,0,1,0
0.9,0.4571799150085858,1,0,0,1,1,0,3,1,1,0,0,0,0,6,0
0.5,0,0,0,7,3,5,0,2,1,1,0,0,0,0,1,0
0.5,0,0,0,2,1,1,0,5,1,1,0,0,0,0,6,0
0.1,0,0,2,3,3,5,0,6,1,1,0,0,0,0,1,0
0.9,0.4855235780571704,1,0,5,3,5,0,0,3,5,0,0,0,0,6,0
0.5,0,0,0,1,3,5,0,4,1,1,0,0,0,0,1,0
0.1,0,0,2,7,1,1,2,2,1,1,0,0,0,0,5,0
0.9,0.6298559866151088,1,2,4,3,5,0,7,1,1,0,0,0,0,1,3
0.5,0,0,1,7,3,5,1,2,3,5,0,0,0,0,6,0
0.5,0.4775780029374484,1,2,7,3,5,0,2,1,1,0,0,0,0,1,0
0.1,0,0,1,4,1,1,1,7,1,1,0,0,0,0,6,0
0.9,0,0,0,4,3,5,0,7,1,1,0,0,0,0,1,0
